Sample	Library	SequencingCenter	Platform	ReadGroup	LibType	Date	Lane	Unit	Flavor	Run	Genome	Group	NucleicAcid	Location	Seqfile1
RX-266	RX-266_S11	PwF	Illumina	RX-266_S11_NGCTAC_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	Control_Hypothroy	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-266_S11_L007_R1_001.fastq.gz
RX-269	RX-269_S12	PwF	Illumina	RX-269_S12_NCGTCC_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	Control_Hypothroy	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-269_S12_L007_R1_001.fastq.gz
RX-272	RX-272_S13	PwF	Illumina	RX-272_S13_NTCCGC_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	ko	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-272_S13_L007_R1_001.fastq.gz
RX-274	RX-274_S14	PwF	Illumina	RX-274_S14_NTTTCG_L007_001	RF	2/1/17	7	K00242	1x50	51	GRCm38	control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160322_K00242_0051_BH7HKHBBXX-RWu-RS	RX-274_S14_L007_R1_001.fastq.gz
RX-201	RX-201_S1	PwF	Illumina	RX-201_S1_NTCACG_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	DBDB	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-201_S1_L002_R1_001.fastq.gz
RX-203	RX-203_S2	PwF	Illumina	RX-203_S2_NGATGT_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	DBDB_Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-203_S2_L002_R1_001.fastq.gz
RX-205	RX-205_S3	PwF	Illumina	RX-205_S3_NTAGGC_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	DBDB	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-205_S3_L002_R1_001.fastq.gz
RX-207	RX-207_S4	PwF	Illumina	RX-207_S4_NGACCA_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	DBDB_Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-207_S4_L002_R1_001.fastq.gz
RX-211	RX-211_S5	PwF	Illumina	RX-211_S5_NCAGTG_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	DBDB	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-211_S5_L002_R1_001.fastq.gz
RX-214	RX-214_S6	PwF	Illumina	RX-214_S6_NCCAAT_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	DBDB_Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-214_S6_L002_R1_001.fastq.gz
RX-262	RX-262_S7	PwF	Illumina	RX-262_S7_NAGATC_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-262_S7_L002_R1_001.fastq.gz
RX-263	RX-263_S8	PwF	Illumina	RX-263_S8_NCTTGA_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-263_S8_L002_R1_001.fastq.gz
RX-264	RX-264_S9	PwF	Illumina	RX-264_S9_NATCAG_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	Control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-264_S9_L002_R1_001.fastq.gz
RX-265	RX-265_S10	PwF	Illumina	RX-265_S10_NAGCTT_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	Control_Hypothroy	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-265_S10_L002_R1_001.fastq.gz
RX-266	RX-266_S11	PwF	Illumina	RX-266_S11_NGCTAC_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	Control_Hypothroy	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-266_S11_L002_R1_001.fastq.gz
RX-269	RX-269_S12	PwF	Illumina	RX-269_S12_NCGTCC_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	Control_Hypothroy	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-269_S12_L002_R1_001.fastq.gz
RX-272	RX-272_S13	PwF	Illumina	RX-272_S13_NTCCGC_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	ko	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-272_S13_L002_R1_001.fastq.gz
RX-274	RX-274_S14	PwF	Illumina	RX-274_S14_NTTTCG_L002_001	RF	2/1/17	2	K00242	1x50	52	GRCm38	control	RNA	/group/bioinformatics/Projects/CRI-BIO-482-Med-RW-yli/RawData/160324_K00242_0052_AH7HJMBBXX-RWu-RS	RX-274_S14_L002_R1_001.fastq.gz
